차례	항목	풀이	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
7112	정년03	停年	명	24 	13 	1 	0 	4 	3 	4 	2 	0 	1 	9 
53214	정년퇴직	停年退職	명	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
53215	정년퇴직하다	停年退職-	동	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
53216	정념01	正念	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
53217	정념02	情念	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
53218	정념적	情念的	관	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
11382	정녕03	丁寧	부	13 	9 	0 	1 	0 	3 	2 	1 	1 	0 	5 
36122	정담02	情談	명	2 	1 	2 	0 	0 	0 	0 	0 	0 	0 	0 
7906	정답	正答	명	21 	9 	0 	0 	4 	0 	13 	2 	0 	1 	1 
7361	정답다	情-	형	23 	16 	1 	4 	1 	8 	0 	6 	0 	0 	3 
53219	정당04	正當	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
1422	정당07	政黨	명	161 	22 	0 	0 	1 	0 	154 	2 	0 	2 	2 
36123	정당방위	正當防衛	명	2 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0 
5141	정당성01	正當性	명	36 	17 	0 	0 	14 	2 	18 	2 	0 	0 	0 
53220	정당인	政黨人	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
53221	정당적	政黨的	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
3435	정당하다01	正當-	형	59 	29 	1 	2 	27 	6 	20 	3 	0 	0 	0 
28987	정당화	正當化	명	3 	3 	0 	0 	1 	0 	2 	0 	0 	0 	0 
19382	정당화되다	正當化-	동	6 	5 	0 	0 	2 	1 	3 	0 	0 	0 	0 
13745	정당화시키다	正當化-	동	10 	3 	0 	0 	10 	0 	0 	0 	0 	0 	0 
8924	정당화하다	正當化-	동	18 	10 	0 	0 	11 	3 	4 	0 	0 	0 	0 
19383	정도02	正道	명	6 	3 	0 	0 	5 	0 	0 	1 	0 	0 	0 
28988	정도05	定都	명	3 	1 	0 	0 	3 	0 	0 	0 	0 	0 	0 
86	정도11	程度	명	1,619 	147 	38 	121 	397 	206 	305 	402 	13 	67 	70 
53222	정독01	正讀	명	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
