차례	항목	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
37	는다	종	2,085 	157 	99 	193 	560 	204 	262 	481 	141 	28 	117 
236	는다고	연	17 	14 	0 	0 	4 	2 	4 	3 	1 	0 	3 
317	는다고	종	7 	6 	0 	0 	2 	1 	0 	0 	0 	4 	0 
568	는다네	종	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 
569	는다느니	연	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
570	는다니	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
571	는다니까	종	1 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 
572	는다마는	연	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
145	는다면	연	91 	50 	2 	6 	29 	22 	15 	14 	1 	0 	2 
573	는다면서	종	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
574	는다지	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
477	는단다	종	2 	2 	0 	1 	1 	0 	0 	0 	0 	0 	0 
383	는답니다	종	4 	4 	1 	0 	0 	1 	1 	1 	0 	0 	0 
478	는답시고	연	2 	2 	0 	0 	1 	1 	0 	0 	0 	0 	0 
26	는데	연	3,881 	166 	333 	177 	680 	636 	311 	566 	309 	447 	422 
127	는데	종	156 	54 	52 	3 	5 	34 	1 	15 	17 	25 	4 
222	는디	연	20 	6 	0 	0 	0 	7 	0 	0 	11 	0 	2 
417	는디	종	3 	2 	0 	0 	0 	1 	0 	0 	2 	0 	0 
336	는바	연	6 	3 	0 	0 	4 	2 	0 	0 	0 	0 	0 
87	는지	연	443 	102 	21 	52 	48 	192 	27 	55 	13 	4 	31 
62	는지	종	937 	143 	41 	170 	147 	259 	114 	101 	15 	33 	57 
318	는지라	연	7 	4 	0 	0 	0 	2 	0 	0 	0 	0 	5 
575	능갑만	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
418	능교	종	3 	2 	0 	0 	0 	0 	0 	0 	2 	0 	1 
48	니	연	1,432 	123 	124 	75 	231 	388 	79 	259 	40 	7 	229 
79	니	종	521 	75 	65 	46 	24 	227 	1 	28 	109 	16 	5 
58	니까	연	1,054 	99 	177 	16 	76 	261 	9 	67 	90 	212 	146 
362	니까니	연	5 	1 	0 	0 	0 	5 	0 	0 	0 	0 	0 
307	니깐	연	8 	7 	0 	0 	1 	3 	0 	0 	0 	3 	1 
308	니께	연	8 	3 	0 	0 	0 	4 	0 	0 	4 	0 	0 
576	니께네	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
577	니께로	연	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
363	니끼니	연	5 	2 	0 	0 	0 	0 	0 	0 	5 	0 	0 
277	니라	종	11 	7 	0 	0 	3 	1 	0 	1 	5 	0 	1 
240	니만큼	연	16 	10 	2 	0 	9 	1 	2 	2 	0 	0 	0 
578	니이까	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
479	닌께	연	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
579	닝교	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
49	다	연	1,406 	154 	77 	50 	189 	302 	183 	222 	165 	101 	117 
1	다	종	76,710 	170 	2,862 	4,160 	19,409 	17,413 	14,895 	11,537 	721 	570 	5,143 
40	다가	연	1,862 	152 	108 	112 	212 	525 	121 	264 	189 	78 	253 
205	다가는	연	26 	18 	2 	1 	1 	14 	3 	1 	1 	0 	3 
295	다간	연	9 	8 	0 	0 	1 	6 	1 	0 	0 	0 	1 
103	다고	연	297 	95 	11 	11 	49 	87 	35 	39 	18 	14 	33 
130	다고	종	137 	47 	9 	0 	5 	63 	1 	6 	27 	26 	0 
580	다고라	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
419	다구	연	3 	2 	0 	0 	0 	2 	0 	0 	1 	0 	0 
581	다구	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
582	다꼬	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
231	다나	종	18 	14 	2 	0 	1 	6 	0 	5 	3 	1 	0 
583	다냐	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
247	다네	종	15 	8 	2 	0 	1 	11 	0 	0 	0 	0 	1 
264	다느니	연	13 	7 	2 	0 	2 	4 	0 	3 	0 	0 	2 
224	다니	연	19 	15 	1 	1 	0 	8 	2 	1 	0 	0 	6 
126	다니	종	158 	55 	16 	2 	25 	68 	12 	8 	5 	2 	20 
176	다니까	종	50 	23 	5 	0 	4 	24 	0 	2 	10 	4 	1 
584	다니까니	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
